"ID_UNIVERSIDAD","ID_TITULACION","NOMBRE_TITULACION","NOMBRE_TIPO_TITULACION"
"021","2500190","Graduado o Graduada en Filosofía","Grado"
"021","2500191","Graduado o Graduada en Terapia Ocupacional por la ","Grado"
"021","2500191","Graduado o Graduada en Terapia Ocupacional","Grado"
"053","2500192","Graduado o Graduada en Dirección y Creación de Emp","Grado"
"053","2500192","Graduado o Graduada en Dirección y Creación de Emp","Grado"
"007","2500193","Graduado o Graduada en Ciencia Política y de la Ad","Grado"
"054","2500194","Graduado o Graduada en Derecho por la Universitat ","Grado"
"066","2500195","Graduado o Graduada en Ingeniería de Edificación","Grado"
"066","2500195","Graduado o Graduada en Ingeniería de Edificación p","Grado"
"036","2500196","Graduado o Graduada en Ingeniería Electrónica Indu","Grado"
"061","2500197","Graduado o Graduada en Ingeniería Mecánica","Grado"
"061","2500197","Graduado o Graduada en Ingeniería Mecánica por la ","Grado"
"074","2500198","Graduado o Graduada en Turismo","Grado"
"061","2500199","Graduado o Graduada en Ingeniería en Electrónica I","Grado"
"061","2500199","Graduado o Graduada en Ingeniería en Electrónica I","Grado"
"073","2500200","Graduado o Graduada en Traducción y Comunicación I","Grado"
"037","2500224","Graduado o Graduada en Biología ","Grado"
"037","2500225","Graduado o Graduada en Química ","Grado"
"029","2500226","Graduado o Graduada en Estudios Hispánicos por la ","Grado"
"029","2500227","Graduado o Graduada en Historia por la Universidad","Grado"
"029","2500228","Graduado o Graduada en Humanidades por la Universi","Grado"
"029","2500229","Graduado o Graduada en Lenguas Modernas y Traducci","Grado"
"029","2500230","Graduado o Graduada en Biología por la Universidad","Grado"
"029","2500231","Graduado o Graduada en Biología Sanitaria por la U","Grado"
"029","2500232","Graduado o Graduada en Enfermería por la Universid","Grado"
"029","2500233","Graduado o Graduada en Fisioterapia por la Univers","Grado"
"029","2500234","Graduado o Graduada en Turismo por la Universidad ","Grado"
"029","2500235","Graduado o Graduada en Ingeniería de Computadores","Grado"
"029","2500235","Graduado o Graduada en Ingeniería de Computadores ","Grado"
"029","2500236","Graduado o Graduada en Ingeniería de la Edificació","Grado"
"029","2500237","Graduado o Graduada en Ingeniería Informática por ","Grado"
