uri,aiiso_code,foaf_name
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/215-didactica-y-organizacion-escolar,215,DIDÁCTICA Y ORGANIZACIÓN ESCOLAR
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/220-ecologia,220,ECOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/225-economia-aplicada,225,ECONOMÍA APLICADA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/230-economia-financiera-y-contabilidad,230,ECONOMÍA FINANCIERA Y CONTABILIDAD
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/240-edafologia-y-quimica-agricola,240,EDAFOLOGÍA Y QUÍMICA AGRÍCOLA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/245-educacion-fisica-y-deportiva,245,EDUCACIÓN FÍSICA Y DEPORTIVA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/250-electronica,250,ELECTRÓNICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/255-enfermeria,255,ENFERMERÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/265-estadistica-e-investigacion-operativa,265,ESTADÍSTICA E INVESTIGACIÓN OPERATIVA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/285-estudios-arabes-e-islamicos,285,ESTUDIOS ÁRABES E ISLÁMICOS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/300-expresion-grafica-arquitectonica,300,EXPRESIÓN GRÁFICA ARQUITECTÓNICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/305-expresion-grafica-en-la-ingenieria,305,EXPRESIÓN GRÁFICA EN LA INGENIERÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/315-farmacologia,315,FARMACOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/320-filologia-alemana,320,FILOLOGÍA ALEMANA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/335-filologia-francesa,335,FILOLOGÍA FRANCESA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/340-filologia-griega,340,FILOLOGÍA GRIEGA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/345-filologia-inglesa,345,FILOLOGÍA INGLESA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/350-filologia-italiana,350,FILOLOGÍA ITALIANA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/355-filologia-latina,355,FILOLOGÍA LATINA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/370-filologias-gallega-y-portuguesa,370,FILOLOGÍAS GALLEGA Y PORTUGUESA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/375-filosofia,375,FILOSOFÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/381-filosofia-del-derecho,381,FILOSOFÍA DEL DERECHO
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/385-fisica-aplicada,385,FÍSICA APLICADA
